tvshow_title,actor_name
Barbie Dream Besties,Sasha Sloan
Barbie Dream Besties,Crystal Lee
The Barbie Vlog,Sara Coates
The Barbie Vlog,Dove Meir
The Barbie Vlog,America Young
Barbie Life in the City,Tatiana Varria
Barbie Life in the City,Gabe Kunda
Barbie Life in the City,Mela Lee
Holy Shit  Barbie,Meggan Amos
Holy Shit  Barbie,Bren Coombs
Holy Shit  Barbie,Elli Rahn
Barbie and the Bear,Aleksandra Afanaseva-Shevchuk
Barbie and the Bear,Danila Yakushev
Barbie and the Bear,Aleksandr Pavlov
Barbie and the Bear,Ramil Sabitov
Cool Barbie,Caroline Austen
Cool Barbie,Jonathan Austen
Cool Barbie,Timothy Boxall
Barbie Story Box,Riley St. John
Barbie Story Box,Riley St. John
Barbie Travel Mysteries,Mallory Arkin
Barbie Travel Mysteries,Justin Coloma
Barbie Travel Mysteries,Riley St. John
Capitol Barbie,Jeanette Aguilar Harris
Capitol Barbie,Stephen Conn
Capitol Barbie,Trishae Furmanek
Capitol Barbie,Briana Leslie Gonzales
Darth Barbie,Krista Novva
Barbie You Can Be Anything,Alyssa Carson
Barbie Presents MEGA Barbie Adventures,America Young
Barbie Dream Besties,Courtney Lin
Barbie Dream Besties,Crystal Lee
Huisje Boompje Barbie,Rinie van den Elzen
Huisje Boompje Barbie,Samantha de Jong
Huisje Boompje Barbie,Michael van der Plas
Barbie: Adventures in Malibu,America Young
Barbie: Adventures in Malibu,Kirsten Day
Barbie: Adventures in Malibu,Cassidy Naber
Barbie Dreamhouse Adventures: Go Team Roberts,Greg Chun
Barbie Dreamhouse Adventures: Go Team Roberts,Stephanie Sheh
Barbie Dreamhouse Adventures: Go Team Roberts,Cassandra Lee Morris
Barbie 3D Dreamworld,America Young
Barbie 3D Dreamworld,Kirsten Day
Barbie 3D Dreamworld,Cassandra Lee Morris
Cheat Code: with Black Tech Barbie,Black Tech Barbie
Le Procès de Klaus Barbie,Klaus Barbie
Barbie and Barbie on Set,Cassandra Lee Morris
Barbie and Barbie on Set,Tatiana Varria
Barbie and Barbie on Set,America Young
The Patriot Barbie,Patriot Barbie
Barbie Doll Adventures,America Young
Barbie Doll Adventures,Tatiana Varria
Barbie Doll Adventures,Cassandra Lee Morris
Barbie: Fashion Fun for Everyone,America Young
Barbie: Fashion Fun for Everyone,Ritesh Rajan
Barbie Malibu Helpers' Club,Cassandra Lee Morris
Barbie Malibu Helpers' Club,America Young
Barbie Malibu Helpers' Club,Kirsten Day
Barbie Return to Dreamtopia,America Young
Barbie Return to Dreamtopia,Cassidy Naber
Barbie Return to Dreamtopia,Ritesh Rajan
Barbie Ride 'N Style,America Young
Barbie Ride 'N Style,Ritesh Rajan
Mindhunter,Jonathan Groff
Mindhunter,Holt McCallany
Mindhunter,Anna Torv
True Detective,Vince Vaughn
True Detective,Colin Farrell
True Detective,Rachel McAdams
True Crime Story: Citizen Detective,Josh Hallmark
True Crime Story: Citizen Detective,Rebekah Heath
True Crime Story: Citizen Detective,Madison Taylor McConville
